# Wins,# Losses,# Ties
0,0,0
0,1,0
1,1,0
2,1,0
2,2,0
3,2,0
3,3,0
4,3,0
5,3,0
6,3,0
6,4,0
7,4,0
8,4,0
9,4,0
10,4,0
10,5,0
10,6,0
11,6,0
12,6,0
13,6,0
13,7,0
14,7,0
15,7,0
15,8,0
15,9,0
16,9,0
16,9,1
17,9,1
18,9,1
19,9,1
19,10,1
19,11,1
20,11,1
21,11,1
22,11,1
23,11,1
24,11,1
24,11,2
25,11,2
25,12,2
26,12,2
27,12,2
28,12,2
28,12,3
29,12,3
30,12,3
31,12,3
32,12,3
33,12,3
34,12,3
35,12,3
36,12,3
37,12,3
37,13,3
38,13,3
39,13,3
40,13,3
40,14,3
41,14,3
42,14,3
43,14,3
44,14,3
44,15,3
44,16,3
45,16,3
46,16,3
46,17,3
47,17,3
48,17,3
49,17,3
50,17,3
51,17,3
52,17,3
52,18,3
52,19,3
52,19,4
53,19,4
54,19,4
54,20,4
55,20,4
56,20,4
56,21,4
57,21,4
58,21,4
58,21,5
58,22,5
59,22,5
59,22,6
60,22,6
61,22,6
62,22,6
63,22,6
64,22,6
65,22,6
66,22,6
66,23,6
67,23,6
68,23,6
69,23,6
69,24,6
70,24,6
70,25,6
70,26,6
70,27,6
71,27,6
71,28,6
71,29,6
71,30,6
71,31,6
72,31,6
73,31,6
73,31,7
73,32,7
73,33,7
74,33,7
75,33,7
76,33,7
77,33,7
77,34,7
78,34,7
79,34,7
80,34,7
80,35,7
81,35,7
82,35,7
82,36,7
83,36,7
84,36,7
84,37,7
84,38,7
84,39,7
85,39,7
86,39,7
87,39,7
88,39,7
89,39,7
90,39,7
91,39,7
92,39,7
92,40,7
93,40,7
94,40,7
94,41,7
95,41,7
96,41,7
97,41,7
98,41,7
99,41,7
100,41,7
101,41,7
102,41,7
103,41,7
104,41,7
104,42,7
105,42,7
105,43,7
105,44,7
106,44,7
106,45,7
106,46,7
107,46,7
108,46,7
108,47,7
109,47,7
110,47,7
110,48,7
110,49,7
111,49,7
112,49,7
113,49,7
114,49,7
115,49,7
116,49,7
117,49,7
118,49,7
118,50,7
119,50,7
119,51,7
119,52,7
120,52,7
120,53,7
121,53,7
122,53,7
123,53,7
123,54,7
124,54,7
125,54,7
126,54,7
126,55,7
127,55,7
127,56,7
128,56,7
129,56,7
130,56,7
130,57,7
130,58,7
130,59,7
131,59,7
131,60,7
132,60,7
133,60,7
134,60,7
135,60,7
136,60,7
136,61,7
136,62,7
137,62,7
138,62,7
139,62,7
140,62,7
141,62,7
142,62,7
142,63,7
143,63,7
144,63,7
145,63,7
146,63,7
147,63,7
148,63,7
149,63,7
150,63,7
151,63,7
151,64,7
152,64,7
153,64,7
154,64,7
155,64,7
156,64,7
157,64,7
158,64,7
158,64,8
158,65,8
159,65,8
160,65,8
160,66,8
161,66,8
162,66,8
162,67,8
162,68,8
163,68,8
163,69,8
164,69,8
164,70,8
165,70,8
165,71,8
166,71,8
166,71,9
167,71,9
167,72,9
168,72,9
168,73,9
169,73,9
169,74,9
170,74,9
171,74,9
172,74,9
172,74,10
172,75,10
172,76,10
172,77,10
173,77,10
173,78,10
173,79,10
174,79,10
174,80,10
175,80,10
176,80,10
177,80,10
177,81,10
177,82,10
177,83,10
178,83,10
179,83,10
179,84,10
179,84,11
179,85,11
180,85,11
180,86,11
180,86,12
180,87,12
180,88,12
181,88,12
182,88,12
183,88,12
183,89,12
184,89,12
185,89,12
186,89,12
187,89,12
188,89,12
189,89,12
190,89,12
191,89,12
192,89,12
193,89,12
193,90,12
194,90,12
195,90,12
196,90,12
197,90,12
197,91,12
198,91,12
199,91,12
200,91,12
201,91,12
202,91,12
203,91,12
204,91,12
204,92,12
205,92,12
206,92,12
207,92,12
207,93,12
208,93,12
209,93,12
209,94,12
209,95,12
210,95,12
211,95,12
211,96,12
212,96,12
213,96,12
214,96,12
215,96,12
216,96,12
217,96,12
217,97,12
218,97,12
219,97,12
220,97,12
221,97,12
222,97,12
222,98,12
223,98,12
224,98,12
224,99,12
224,100,12
224,101,12
225,101,12
225,102,12
226,102,12
226,102,13
227,102,13
227,103,13
228,103,13
229,103,13
230,103,13
231,103,13
232,103,13
232,104,13
233,104,13
233,105,13
234,105,13
235,105,13
236,105,13
237,105,13
238,105,13
239,105,13
240,105,13
240,106,13
241,106,13
242,106,13
243,106,13
243,107,13
244,107,13
244,108,13
244,108,14
245,108,14
245,108,15
246,108,15
246,109,15
246,109,16
247,109,16
247,110,16
248,110,16
249,110,16
250,110,16
250,111,16
250,112,16
250,113,16
250,114,16
250,114,17
250,115,17
250,116,17
251,116,17
251,117,17
251,118,17
252,118,17
253,118,17
253,119,17
254,119,17
254,120,17
254,121,17
254,122,17
254,122,18
254,122,19
254,123,19
254,124,19
254,125,19
255,125,19
255,126,19
255,126,20
255,127,20
255,128,20
256,128,20
256,128,21
256,128,22
257,128,22
257,129,22
257,130,22
257,130,23
258,130,23
259,130,23
260,130,23
261,130,23
261,131,23
262,131,23
262,132,23
263,132,23
264,132,23
265,132,23
266,132,23
267,132,23
267,133,23
267,134,23
267,134,24
267,135,24
268,135,24
268,136,24
269,136,24
269,137,24
270,137,24
270,138,24
271,138,24
271,139,24
272,139,24
272,140,24
273,140,24
274,140,24
275,140,24
276,140,24
277,140,24
277,141,24
278,141,24
279,141,24
279,142,24
280,142,24
281,142,24
281,143,24
282,143,24
283,143,24
284,143,24
285,143,24
286,143,24
287,143,24
288,143,24
288,144,24
288,144,25
289,144,25
289,145,25
290,145,25
291,145,25
292,145,25
292,146,25
292,147,25
293,147,25
294,147,25
294,148,25
294,149,25
295,149,25
295,150,25
296,150,25
297,150,25
298,150,25
299,150,25
300,150,25
301,150,25
302,150,25
303,150,25
304,150,25
305,150,25
306,150,25
306,151,25
307,151,25
308,151,25
308,152,25
309,152,25
309,153,25
309,154,25
310,154,25
311,154,25
312,154,25
313,154,25
314,154,25
314,155,25
315,155,25
315,155,26
316,155,26
317,155,26
318,155,26
319,155,26
320,155,26
320,156,26
321,156,26
322,156,26
322,157,26
323,157,26
324,157,26
325,157,26
326,157,26
326,158,26
326,159,26
326,160,26
327,160,26
327,161,26
327,162,26
328,162,26
329,162,26
329,163,26
329,164,26
329,165,26
329,166,26
329,166,27
329,167,27
329,168,27
330,168,27
331,168,27
332,168,27
333,168,27
334,168,27
335,168,27
336,168,27
336,169,27
336,170,27
336,171,27
337,171,27
338,171,27
338,172,27
339,172,27
340,172,27
341,172,27
341,173,27
342,173,27
343,173,27
344,173,27
345,173,27
346,173,27
347,173,27
348,173,27
348,174,27
349,174,27
349,175,27
349,176,27
350,176,27
351,176,27
351,177,27
352,177,27
353,177,27
353,178,27
354,178,27
355,178,27
356,178,27
357,178,27
357,179,27
358,179,27
358,180,27
358,181,27
358,182,27
359,182,27
360,182,27
361,182,27
361,183,27
362,183,27
363,183,27
364,183,27
364,184,27
364,185,27
365,185,27
366,185,27
366,185,28
366,186,28
367,186,28
368,186,28
369,186,28
369,187,28
369,188,28
369,189,28
369,190,28
370,190,28
371,190,28
371,191,28
371,192,28
372,192,28
373,192,28
373,192,29
374,192,29
375,192,29
376,192,29
377,192,29
377,193,29
377,194,29
377,194,30
378,194,30
379,194,30
380,194,30
380,195,30
381,195,30
381,196,30
381,197,30
382,197,30
383,197,30
384,197,30
385,197,30
386,197,30
387,197,30
387,198,30
388,198,30
389,198,30
390,198,30
390,198,31
391,198,31
